                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0978,                0.74649,                 1.0901,                0.69496,                0.37698,                0.43277,                0.30377,                 1.1361,                0.83851,                 1.1643,              0.0003317,              0.0003317,              0.0003317
                     36,                 1.0793,                 0.7324,                 1.1005,                0.63052,                0.39476,                0.43295,                0.30644,                 1.1207,                 0.8379,                   1.15,             0.00032675,             0.00032675,             0.00032675
                     37,                 1.0741,                 0.7179,                 1.0917,                0.67043,                0.39063,                0.44022,                0.31097,                 1.1292,                0.82881,                 1.1432,              0.0003218,              0.0003218,              0.0003218
                     38,                 1.0612,                0.71633,                 1.1068,                0.75986,                 0.3831,                0.43793,                0.30832,                 1.1226,                0.83701,                 1.1526,             0.00031685,             0.00031685,             0.00031685
                     39,                 1.0788,                0.72194,                 1.0923,                 0.7466,                0.37706,                0.43302,                0.30558,                 1.1305,                0.84291,                 1.1526,              0.0003119,              0.0003119,              0.0003119
                     40,                 1.0952,                0.73033,                 1.1037,                0.72295,                0.38359,                0.43143,                0.30606,                 1.1212,                0.82965,                 1.1436,             0.00030695,             0.00030695,             0.00030695
                     41,                  1.061,                0.71774,                 1.1035,                0.73361,                0.38432,                0.43214,                0.30641,                 1.1147,                0.83728,                 1.1475,               0.000302,               0.000302,               0.000302
                     42,                 1.0741,                0.72366,                 1.0924,                0.74279,                0.38803,                0.43225,                0.30754,                 1.1159,                0.83092,                 1.1581,             0.00029705,             0.00029705,             0.00029705
                     43,                 1.0527,                0.71076,                 1.1012,                0.74607,                0.38197,                0.43251,                0.30561,                 1.1212,                0.83951,                 1.1517,              0.0002921,              0.0002921,              0.0002921
                     44,                 1.0665,                0.74043,                 1.0972,                0.74641,                0.38969,                0.43276,                0.30637,                 1.1157,                0.82913,                 1.1463,             0.00028715,             0.00028715,             0.00028715
                     45,                 1.0535,                0.71142,                 1.1088,                0.73949,                0.38627,                0.43279,                0.30635,                 1.1203,                0.82893,                 1.1454,              0.0002822,              0.0002822,              0.0002822
                     46,                 1.0489,                0.69899,                 1.1019,                0.73373,                0.38388,                0.43379,                0.30776,                 1.1175,                0.83512,                 1.1458,             0.00027725,             0.00027725,             0.00027725
                     47,                 1.0972,                 0.7362,                 1.0988,                0.73827,                0.38569,                0.43449,                0.30746,                 1.1224,                0.84166,                 1.1466,              0.0002723,              0.0002723,              0.0002723
                     48,                  1.061,                 0.7167,                 1.1047,                0.73357,                   0.39,                0.43522,                0.30913,                  1.116,                0.82833,                 1.1445,             0.00026735,             0.00026735,             0.00026735
                     49,                 1.0639,                0.70822,                 1.0831,                0.75659,                0.38228,                0.43801,                0.31034,                 1.1177,                0.83531,                 1.1474,              0.0002624,              0.0002624,              0.0002624
                     50,                 1.0662,                0.71378,                 1.0875,                0.76208,                0.37731,                0.43425,                 0.3093,                 1.1063,                0.82559,                 1.1443,             0.00025745,             0.00025745,             0.00025745
                     51,                 1.0339,                0.68441,                 1.0868,                0.75329,                0.38758,                0.43629,                0.31013,                 1.1144,                0.82918,                 1.1476,              0.0002525,              0.0002525,              0.0002525
                     52,                 1.0482,                0.69443,                 1.0827,                0.74064,                0.38409,                0.43564,                0.30902,                 1.1185,                0.83246,                 1.1475,             0.00024755,             0.00024755,             0.00024755
                     53,                  1.063,                0.74074,                 1.0845,                 0.7413,                0.38072,                0.43436,                0.30923,                 1.1087,                0.83394,                 1.1463,              0.0002426,              0.0002426,              0.0002426
                     54,                 1.0357,                0.68519,                 1.0843,                0.74615,                0.38251,                0.43494,                0.30772,                 1.1145,                 0.8262,                 1.1449,             0.00023765,             0.00023765,             0.00023765
                     55,                 1.0538,                0.69445,                 1.0923,                 0.7477,                0.38359,                0.43277,                0.30738,                 1.1109,                 0.8254,                 1.1444,              0.0002327,              0.0002327,              0.0002327
                     56,                 1.0457,                 0.6931,                  1.091,                0.74901,                0.38559,                 0.4374,                0.31243,                 1.1077,                0.83009,                 1.1438,             0.00022775,             0.00022775,             0.00022775
                     57,                 1.0426,                 0.6889,                 1.0866,                0.73368,                0.39276,                0.43506,                0.30921,                 1.1168,                0.83226,                 1.1465,              0.0002228,              0.0002228,              0.0002228
                     58,                 1.0342,                0.69352,                 1.0965,                0.72344,                0.38454,                0.43058,                0.30522,                 1.1195,                0.83082,                  1.149,             0.00021785,             0.00021785,             0.00021785
                     59,                  1.026,                0.67611,                 1.0844,                0.72254,                0.39291,                0.43821,                0.31076,                 1.1067,                0.82061,                  1.143,              0.0002129,              0.0002129,              0.0002129
                     60,                 1.0568,                0.69591,                 1.0777,                0.72993,                0.38559,                0.43521,                0.30862,                 1.1063,                0.82351,                 1.1453,             0.00020795,             0.00020795,             0.00020795
                     61,                 1.0498,                0.69426,                 1.0767,                0.71329,                0.39578,                0.43869,                0.31244,                 1.1074,                0.81298,                 1.1406,               0.000203,               0.000203,               0.000203
                     62,                   1.02,                0.68206,                 1.0868,                0.74006,                0.39076,                0.43777,                0.31106,                  1.107,                0.81641,                 1.1394,             0.00019805,             0.00019805,             0.00019805
                     63,                 1.0555,                0.69642,                 1.0865,                 0.7347,                0.38817,                0.43497,                0.30905,                 1.0975,                0.81644,                 1.1357,              0.0001931,              0.0001931,              0.0001931
                     64,                 1.0377,                0.68122,                 1.0839,                0.73048,                0.38621,                0.43602,                0.31029,                 1.1038,                0.82498,                 1.1474,             0.00018815,             0.00018815,             0.00018815
                     65,                  1.042,                0.70054,                  1.089,                0.74104,                0.38956,                0.43744,                0.31084,                 1.1054,                0.82567,                 1.1472,              0.0001832,              0.0001832,              0.0001832
                     66,                 1.0446,                0.68913,                 1.0909,                0.73877,                0.38378,                0.43402,                0.30809,                 1.1068,                0.82342,                 1.1421,             0.00017825,             0.00017825,             0.00017825
                     67,                  1.036,                 0.6935,                  1.087,                0.73471,                0.38204,                0.43623,                0.31088,                 1.1082,                 0.8196,                 1.1474,              0.0001733,              0.0001733,              0.0001733
                     68,                 1.0264,                0.67107,                 1.0736,                0.74096,                 0.3825,                0.43391,                0.30935,                  1.102,                0.82047,                 1.1473,             0.00016835,             0.00016835,             0.00016835
                     69,                 1.0402,                0.69266,                 1.0724,                0.75147,                 0.3862,                0.43594,                0.31027,                 1.1047,                0.81967,                 1.1483,              0.0001634,              0.0001634,              0.0001634
                     70,                 1.0404,                0.69475,                 1.0868,                0.72145,                0.39349,                0.43716,                0.30964,                 1.1073,                0.82863,                 1.1416,             0.00015845,             0.00015845,             0.00015845
                     71,                 1.0418,                0.68868,                 1.0807,                0.73617,                 0.3915,                0.43759,                 0.3109,                  1.104,                0.81853,                 1.1449,              0.0001535,              0.0001535,              0.0001535
                     72,                  1.038,                0.67896,                 1.0749,                0.75883,                0.38448,                0.43769,                0.31068,                 1.1036,                0.81979,                 1.1393,             0.00014855,             0.00014855,             0.00014855
                     73,                 1.0278,                0.67394,                  1.094,                0.73819,                0.38602,                0.43683,                 0.3103,                 1.1083,                 0.8253,                 1.1464,              0.0001436,              0.0001436,              0.0001436
                     74,                 1.0119,                0.66909,                 1.0833,                0.75854,                0.38741,                0.43735,                0.31041,                 1.1081,                 0.8166,                 1.1477,             0.00013865,             0.00013865,             0.00013865
                     75,                 1.0163,                0.66874,                 1.0953,                0.76741,                0.38393,                0.43646,                0.31146,                 1.1015,                0.82082,                   1.14,              0.0001337,              0.0001337,              0.0001337
                     76,                 1.0194,                 0.6758,                 1.0808,                0.76501,                0.38026,                0.43655,                0.31197,                 1.0999,                0.81809,                 1.1471,             0.00012875,             0.00012875,             0.00012875
                     77,                 1.0153,                 0.6715,                 1.0844,                0.75833,                0.38396,                0.43648,                 0.3106,                 1.1048,                0.81947,                  1.141,              0.0001238,              0.0001238,              0.0001238
                     78,                 1.0128,                0.66964,                 1.0866,                0.75913,                 0.3835,                0.43608,                 0.3111,                 1.1035,                0.81626,                 1.1439,             0.00011885,             0.00011885,             0.00011885
                     79,                 1.0192,                0.66326,                  1.078,                0.76086,                0.38559,                 0.4401,                0.31333,                 1.1036,                0.81497,                 1.1436,              0.0001139,              0.0001139,              0.0001139
                     80,                 1.0126,                 0.6713,                  1.089,                 0.7355,                0.39198,                0.44077,                0.31294,                 1.1033,                0.81478,                 1.1406,             0.00010895,             0.00010895,             0.00010895
