                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.79444,                0.56213,                 1.1897,                      1,                0.58011,                0.92033,                0.73055,                0.79325,                 1.1394,                 1.4856,             0.00011687,             0.00011687,             0.00011687
                     35,                0.69334,                0.47438,                 1.5364,                0.57143,                0.91667,                0.92095,                0.73117,                0.78568,                  1.181,                 1.4913,             0.00011864,             0.00011864,             0.00011864
                     36,                0.81818,                0.54429,                 1.6028,                0.57143,                0.91667,                0.92095,                0.73117,                0.78568,                  1.181,                 1.4913,             0.00012031,             0.00012031,             0.00012031
                     37,                0.98141,                0.60442,                 1.0864,                      1,                0.57971,                0.92095,                0.73117,                0.77779,                 1.1751,                 1.5077,             0.00012187,             0.00012187,             0.00012187
                     38,                0.84545,                0.59276,                 1.2679,                      1,                0.57971,                0.92095,                0.73117,                0.77779,                 1.1751,                 1.5077,             0.00012333,             0.00012333,             0.00012333
                     39,                0.81912,                0.54754,                 1.2453,                      1,                0.57977,                0.92095,                0.72342,                0.79538,                 1.1984,                 1.5541,             0.00012469,             0.00012469,             0.00012469
                     40,                0.77571,                0.55371,                 1.4482,                      1,                0.57977,                0.92095,                0.72342,                0.79538,                 1.1984,                 1.5541,             0.00012594,             0.00012594,             0.00012594
                     41,                 0.7635,                0.62582,                 1.2554,                      1,                0.57972,                0.92095,                 0.7197,                0.81135,                 1.2336,                 1.5996,             0.00012708,             0.00012708,             0.00012708
                     42,                0.88262,                0.58065,                 1.0787,                      1,                0.57972,                0.92095,                 0.7197,                0.81135,                 1.2336,                 1.5996,             0.00012812,             0.00012812,             0.00012812
                     43,                0.67475,                0.53078,                 1.4098,                      1,                0.57965,                0.92095,                 0.7197,                0.80934,                 1.2322,                 1.5996,             0.00012906,             0.00012906,             0.00012906
                     44,                0.86418,                0.51162,                 1.3026,                      1,                0.57965,                0.92095,                 0.7197,                0.80934,                 1.2322,                 1.5996,              0.0001299,              0.0001299,              0.0001299
                     45,                 1.0955,                0.67318,                 1.2516,                      1,                0.57949,                0.75765,                0.62272,                0.79838,                 1.2634,                 1.6063,             0.00013062,             0.00013062,             0.00013062
                     46,                0.76774,                0.53012,                 1.5215,                      1,                0.57949,                0.75765,                0.62272,                0.79838,                 1.2634,                 1.6063,             0.00013125,             0.00013125,             0.00013125
                     47,                0.48109,                0.45801,                 1.3185,                      1,                0.57944,                0.59182,                0.51799,                0.81202,                 1.2838,                 1.6364,             0.00013177,             0.00013177,             0.00013177
                     48,                0.77994,                 0.4928,                 1.3091,                      1,                0.57944,                0.59182,                0.51799,                0.81202,                 1.2838,                 1.6364,             0.00013219,             0.00013219,             0.00013219
                     49,                0.59799,                0.49561,                 1.2969,                      1,                0.57942,                0.59182,                0.51799,                0.79337,                 1.2901,                  1.653,              0.0001325,              0.0001325,              0.0001325
                     50,                0.79912,                0.51408,                 1.0552,                      1,                0.57942,                0.59182,                0.51799,                0.79337,                 1.2901,                  1.653,             0.00013271,             0.00013271,             0.00013271
                     51,                0.80081,                0.52934,                 1.1457,                      1,                0.57916,                0.59182,                0.52726,                 0.7933,                 1.3007,                 1.6731,             0.00013281,             0.00013281,             0.00013281
                     52,                 1.0102,                0.64089,                 1.3192,                      1,                0.57916,                0.59182,                0.52726,                 0.7933,                 1.3007,                 1.6731,             0.00013282,             0.00013282,             0.00013282
                     53,                0.67248,                0.60319,                 1.2782,                      1,                0.57916,                0.59182,                0.52726,                 0.7933,                 1.3007,                 1.6731,             0.00013271,             0.00013271,             0.00013271
                     54,                0.96493,                0.59737,                 1.1002,                      1,                0.57869,                0.59625,                0.53124,                0.76771,                 1.2659,                  1.655,              0.0001325,              0.0001325,              0.0001325
                     55,                 0.8281,                0.52142,                 1.5302,                      1,                0.57869,                0.59625,                0.53124,                0.76771,                 1.2659,                  1.655,             0.00013219,             0.00013219,             0.00013219
                     56,                0.64053,                0.48377,                 1.0289,                      1,                0.57869,                0.59625,                0.53124,                0.76771,                 1.2659,                  1.655,             0.00013178,             0.00013178,             0.00013178
                     57,                0.76245,                0.54615,                 1.3094,                      1,                0.57866,                0.59444,                0.52776,                0.77624,                 1.3104,                 1.6555,             0.00013126,             0.00013126,             0.00013126
                     58,                0.63539,                0.55248,                 1.3315,                      1,                0.57866,                0.59444,                0.52776,                0.77624,                 1.3104,                 1.6555,             0.00013063,             0.00013063,             0.00013063
                     59,                0.66416,                0.54777,                 1.1333,                      1,                0.57866,                0.59444,                0.52776,                0.77624,                 1.3104,                 1.6555,              0.0001299,              0.0001299,              0.0001299
                     60,                0.82143,                0.52767,                 1.5121,                      1,                0.57865,                0.59444,                0.52407,                0.79335,                 1.3209,                 1.6545,             0.00012907,             0.00012907,             0.00012907
                     61,                0.79199,                0.54555,                 1.3854,                      1,                0.57865,                0.59444,                0.52407,                0.79335,                 1.3209,                 1.6545,             0.00012813,             0.00012813,             0.00012813
                     62,                0.82149,                0.62452,                 1.2797,                      1,                0.57865,                0.59444,                0.52407,                0.79335,                 1.3209,                 1.6545,             0.00012709,             0.00012709,             0.00012709
                     63,                0.77239,                  1.202,                 1.6018,                0.66667,                 0.5781,                0.59444,                0.52407,                 0.8144,                 1.3469,                 1.6483,             0.00012595,             0.00012595,             0.00012595
                     64,                0.54444,                0.47887,                0.98897,                0.66667,                 0.5781,                0.59444,                0.52407,                 0.8144,                 1.3469,                 1.6483,              0.0001247,              0.0001247,              0.0001247
                     65,                0.82079,                0.52488,                 1.1435,                0.66667,                 0.5781,                0.59444,                0.52407,                 0.8144,                 1.3469,                 1.6483,             0.00012334,             0.00012334,             0.00012334
                     66,                0.92809,                0.72161,                 1.2855,                0.66667,                0.57771,                0.59625,                 0.5257,                0.80866,                 1.4208,                 1.6443,             0.00012189,             0.00012189,             0.00012189
                     67,                0.71824,                0.48001,                 1.0599,                0.66667,                0.57771,                0.59625,                 0.5257,                0.80866,                 1.4208,                 1.6443,             0.00012033,             0.00012033,             0.00012033
                     68,                 0.8581,                0.53624,                 1.4678,                0.66667,                0.57771,                0.59625,                 0.5257,                0.80866,                 1.4208,                 1.6443,             0.00011866,             0.00011866,             0.00011866
                     69,                0.61251,                 0.4382,                 1.0161,                0.66667,                0.57736,                0.59444,                0.52407,                0.83388,                 1.4873,                 1.6481,             0.00011689,             0.00011689,             0.00011689
                     70,                0.63351,                0.54434,                 1.2893,                0.66667,                0.57736,                0.59444,                0.52407,                0.83388,                 1.4873,                 1.6481,             0.00011502,             0.00011502,             0.00011502
                     71,                0.61171,                0.55562,                 1.8683,                0.66667,                0.57736,                0.59444,                0.52407,                0.83388,                 1.4873,                 1.6481,             0.00011304,             0.00011304,             0.00011304
                     72,                0.64804,                0.47997,                 2.2682,                0.66667,                0.57739,                  0.593,                0.52277,                0.85857,                 1.5677,                 1.7009,             0.00011095,             0.00011095,             0.00011095
                     73,                0.76082,                0.60659,                 1.4005,                0.66667,                0.57739,                  0.593,                0.52277,                0.85857,                 1.5677,                 1.7009,             0.00010877,             0.00010877,             0.00010877
                     74,                0.80863,                0.51039,                  1.486,                0.66667,                0.57739,                  0.593,                0.52277,                0.85857,                 1.5677,                 1.7009,             0.00010648,             0.00010648,             0.00010648
                     75,                0.95051,                0.59251,                 1.3015,                0.66667,                0.57715,                  0.593,                0.50391,                0.88069,                 1.7321,                 1.7433,             0.00010408,             0.00010408,             0.00010408
                     76,                0.64525,                0.44617,                 1.1397,                0.66667,                0.57715,                  0.593,                0.50391,                0.88069,                 1.7321,                 1.7433,             0.00010158,             0.00010158,             0.00010158
                     77,                 1.0036,                0.57747,                 1.2767,                0.66667,                0.57715,                  0.593,                0.50391,                0.88069,                 1.7321,                 1.7433,             9.8981e-05,             9.8981e-05,             9.8981e-05
                     78,                0.89432,                0.56961,                 1.0263,                0.66667,                0.57718,                0.59444,                0.50526,                0.85088,                 1.3898,                 1.7768,             9.6273e-05,             9.6273e-05,             9.6273e-05
                     79,                0.45494,                0.47196,                 1.1885,                0.66667,                0.57718,                0.59444,                0.50526,                0.85088,                 1.3898,                 1.7768,             9.3462e-05,             9.3462e-05,             9.3462e-05
                     80,                0.59341,                0.47427,                 1.6529,                0.66667,                0.57718,                0.59444,                0.50526,                0.85088,                 1.3898,                 1.7768,             9.0546e-05,             9.0546e-05,             9.0546e-05
                     81,                 1.0337,                0.59388,                 1.3452,                0.66667,                0.57698,                0.59182,                0.49484,                0.89293,                 1.3712,                 1.7819,             8.7526e-05,             8.7526e-05,             8.7526e-05
                     82,                0.77278,                0.46757,                0.98015,                0.66667,                0.57698,                0.59182,                0.49484,                0.89293,                 1.3712,                 1.7819,             8.4402e-05,             8.4402e-05,             8.4402e-05
                     83,                0.65387,                0.48333,                 1.0809,                0.66667,                0.57698,                0.59182,                0.49484,                0.89293,                 1.3712,                 1.7819,             8.1174e-05,             8.1174e-05,             8.1174e-05
                     84,                0.81199,                0.54165,                  1.518,                0.66667,                0.57667,                  0.593,                0.49598,                0.90276,                 1.3891,                 1.7866,             7.7842e-05,             7.7842e-05,             7.7842e-05
                     85,                0.72104,                0.52224,                 1.7061,                0.66667,                0.57667,                  0.593,                0.49598,                0.90276,                 1.3891,                 1.7866,             7.4406e-05,             7.4406e-05,             7.4406e-05
                     86,                0.76358,                0.52018,                 1.0694,                0.66667,                0.57667,                  0.593,                0.49598,                0.90276,                 1.3891,                 1.7866,             7.0865e-05,             7.0865e-05,             7.0865e-05
                     87,                0.81733,                0.51388,                 1.1222,                0.66667,                0.57667,                  0.593,                0.49598,                0.90276,                 1.3891,                 1.7866,             6.7221e-05,             6.7221e-05,             6.7221e-05
                     88,                 0.9008,                 0.5762,                 1.4989,                0.66667,                0.57654,                0.59444,                0.49737,                 0.9009,                  1.358,                 1.7922,             6.3472e-05,             6.3472e-05,             6.3472e-05
                     89,                0.70831,                0.49914,                 1.1387,                0.66667,                0.57654,                0.59444,                0.49737,                 0.9009,                  1.358,                 1.7922,             5.9619e-05,             5.9619e-05,             5.9619e-05
                     90,                0.80342,                0.55732,                 1.0052,                0.66667,                0.57654,                0.59444,                0.49737,                 0.9009,                  1.358,                 1.7922,             5.5662e-05,             5.5662e-05,             5.5662e-05
                     91,                0.73323,                0.48255,                 1.6072,                0.66667,                0.57654,                0.59444,                0.49737,                 0.9009,                  1.358,                 1.7922,             5.1601e-05,             5.1601e-05,             5.1601e-05
                     92,                0.74042,                0.48991,                 1.5729,                0.66667,                0.57623,                0.59444,                0.50286,                0.91004,                 1.3825,                 1.8034,             4.7435e-05,             4.7435e-05,             4.7435e-05
                     93,                0.69335,                 0.4697,                 1.6233,                0.66667,                0.57623,                0.59444,                0.50286,                0.91004,                 1.3825,                 1.8034,             4.3166e-05,             4.3166e-05,             4.3166e-05
                     94,                 0.6991,                0.44737,                 1.6349,                0.66667,                0.57623,                0.59444,                0.50286,                0.91004,                 1.3825,                 1.8034,             3.8792e-05,             3.8792e-05,             3.8792e-05
                     95,                0.71436,                0.45904,                 1.7058,                0.66667,                0.57623,                0.59444,                0.50286,                0.91004,                 1.3825,                 1.8034,             3.4314e-05,             3.4314e-05,             3.4314e-05
                     96,                0.77845,                0.49763,                 1.2763,                      1,                0.57645,                0.59444,                0.49737,                0.91458,                 1.4201,                  1.813,             2.9732e-05,             2.9732e-05,             2.9732e-05
                     97,                0.78045,                 0.4855,                 1.5807,                      1,                0.57645,                0.59444,                0.49737,                0.91458,                 1.4201,                  1.813,             2.5046e-05,             2.5046e-05,             2.5046e-05
                     98,                0.66907,                0.43773,                 1.1596,                      1,                0.57645,                0.59444,                0.49737,                0.91458,                 1.4201,                  1.813,             2.0256e-05,             2.0256e-05,             2.0256e-05
                     99,                0.67211,                 0.4339,                  1.192,                      1,                0.57645,                0.59444,                0.49737,                0.91458,                 1.4201,                  1.813,             1.5361e-05,             1.5361e-05,             1.5361e-05
                    100,                0.64051,                0.44592,                  1.022,                      1,                0.57633,                0.59444,                0.48948,                0.93408,                 1.6311,                    1.8,             1.0363e-05,             1.0363e-05,             1.0363e-05
