                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4217,                 1.0444,                0.92902,                0.40385,                0.29903,                0.30165,                0.17346,                 1.3932,                 1.0382,                0.92249,               0.006535,               0.006535,               0.006535
                     37,                 1.4218,                 1.0406,                0.92619,                0.40901,                0.31711,                  0.309,                0.17696,                 1.3792,                 1.0201,                0.91895,               0.006436,               0.006436,               0.006436
                     38,                 1.4211,                 1.0366,                 0.9271,                0.41077,                0.31386,                0.30785,                0.17776,                  1.386,                 1.0236,                0.92048,               0.006337,               0.006337,               0.006337
                     39,                 1.4161,                  1.036,                0.92484,                0.41563,                0.31364,                0.30764,                0.17695,                 1.3808,                 1.0223,                 0.9175,               0.006238,               0.006238,               0.006238
                     40,                 1.4125,                 1.0301,                0.92583,                0.40452,                0.31484,                0.30587,                0.17602,                 1.3726,                 1.0195,                 0.9163,               0.006139,               0.006139,               0.006139
                     41,                 1.4163,                 1.0287,                0.92403,                0.41626,                0.31523,                0.31128,                0.17908,                 1.3771,                  1.012,                0.91808,                0.00604,                0.00604,                0.00604
                     42,                 1.4012,                 1.0212,                0.92235,                0.41324,                0.32293,                0.31613,                0.18264,                 1.3631,                 1.0051,                0.91426,               0.005941,               0.005941,               0.005941
                     43,                 1.3986,                 1.0171,                0.92065,                0.42388,                0.30775,                0.31114,                0.17909,                 1.3693,                 1.0125,                0.91584,               0.005842,               0.005842,               0.005842
                     44,                 1.3949,                 1.0111,                0.92121,                0.41161,                0.31924,                0.31315,                0.18045,                 1.3675,                 1.0025,                0.91494,               0.005743,               0.005743,               0.005743
                     45,                 1.4072,                 1.0182,                 0.9216,                0.40928,                0.32202,                0.31534,                0.18336,                 1.3622,                 1.0019,                0.91313,               0.005644,               0.005644,               0.005644
                     46,                  1.397,                 1.0116,                0.92148,                0.41802,                0.32798,                0.31652,                0.18312,                 1.3644,                 1.0005,                 0.9133,               0.005545,               0.005545,               0.005545
